Human milk	"Milk, human, mature, fluid"
Ice cream and frozen dairy desserts	"Sugars, granulated"
Ice cream and frozen dairy desserts	"Cocoa, dry powder, hi-fat or breakfast, processed with alkali"
Ice cream and frozen dairy desserts	"Frozen yogurts, vanilla, soft-serve"
Ice cream and frozen dairy desserts	"Wheat flour, white, all-purpose, unenriched"
Ice cream and frozen dairy desserts	"Sugars, granulated"
Ice cream and frozen dairy desserts	"Oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor"
Ice cream and frozen dairy desserts	"Ice cream cones, sugar, rolled-type"
Ice cream and frozen dairy desserts	"Frozen yogurts, vanilla, soft-serve"
Ice cream and frozen dairy desserts	"Baking chocolate, unsweetened, squares"
Ice cream and frozen dairy desserts	"Ice cream cones, sugar, rolled-type"
Ice cream and frozen dairy desserts	"Frozen yogurts, vanilla, soft-serve"
Ice cream and frozen dairy desserts	"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
Ice cream and frozen dairy desserts	"Ice cream cones, cake or wafer-type"
Ice cream and frozen dairy desserts	"Ice cream cones, cake or wafer-type"
Ice cream and frozen dairy desserts	"Yogurt, frozen, chocolate, lowfat milk"
Baby food: yogurt	"Yogurt, plain, whole milk, 8 grams protein per 8 ounce"
Baby food: yogurt	Vitamin D as ingredient
Baby food: yogurt	"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified"
Baby food: yogurt	"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified"
Baby food: yogurt	"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified"
"Flavored milk, nonfat"	"Milk, chocolate, fat free, with added vitamin A and vitamin D"
"Flavored milk, whole"	"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D"
"Flavored milk, nonfat"	"Milk, chocolate, fat free, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Milk, chocolate, lowfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Milk, chocolate, lowfat, reduced sugar"
"Flavored milk, lowfat"	"Milk, chocolate, lowfat, with added vitamin A and vitamin D"
"Flavored milk, nonfat"	"Milk, chocolate, fat free, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Milk, chocolate, lowfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Syrup, NESTLE, chocolate"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Syrup, NESTLE, chocolate"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Syrup, NESTLE, chocolate"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Syrup, NESTLE, chocolate"
"Flavored milk, reduced fat"	"Cream, fluid, heavy whipping"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Syrup, NESTLE, chocolate"
"Flavored milk, nonfat"	"Cream, fluid, heavy whipping"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Syrup, NESTLE, chocolate"
