Human milk	"Milk, human, mature, fluid"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Beef, pot roast, braised or boiled, lean only eaten"
Other Mexican mixed dishes	"Tomatillos, raw"
Other Mexican mixed dishes	"Peppers, hot chili, green, raw"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Water, tap, drinking"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Coriander (cilantro) leaves, raw"
Other Mexican mixed dishes	"Lime juice, raw"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Chicken, NS as to part, rotisserie, skin not eaten"
Other Mexican mixed dishes	"Refried beans, fat added in cooking, NS as to type of fat"
Other Mexican mixed dishes	"Tomatoes, red, ripe, canned, stewed"
Other Mexican mixed dishes	"Peppers, hot chili, red, canned, excluding seeds, solids and liquids"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Chicken, NS as to part, rotisserie, skin not eaten"
Other Mexican mixed dishes	"Refried beans, fat added in cooking, NS as to type of fat"
Other Mexican mixed dishes	"Tomatillos, raw"
Other Mexican mixed dishes	"Peppers, hot chili, green, raw"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Water, tap, drinking"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Coriander (cilantro) leaves, raw"
Other Mexican mixed dishes	"Lime juice, raw"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Chicken, NS as to part, rotisserie, skin not eaten"
Other Mexican mixed dishes	"Tomatoes, red, ripe, canned, stewed"
Other Mexican mixed dishes	"Peppers, hot chili, red, canned, excluding seeds, solids and liquids"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Chicken, NS as to part, rotisserie, skin not eaten"
Other Mexican mixed dishes	"Tomatillos, raw"
Other Mexican mixed dishes	"Peppers, hot chili, green, raw"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Water, tap, drinking"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Coriander (cilantro) leaves, raw"
Other Mexican mixed dishes	"Lime juice, raw"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Refried beans, fat added in cooking, NS as to type of fat"
Other Mexican mixed dishes	"Tomatoes, red, ripe, canned, stewed"
Other Mexican mixed dishes	"Peppers, hot chili, red, canned, excluding seeds, solids and liquids"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Refried beans, fat added in cooking, NS as to type of fat"
Other Mexican mixed dishes	"Tomatillos, raw"
Other Mexican mixed dishes	"Peppers, hot chili, green, raw"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Water, tap, drinking"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Coriander (cilantro) leaves, raw"
Other Mexican mixed dishes	"Lime juice, raw"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Cheese, cheddar"
Other Mexican mixed dishes	"Tomatoes, red, ripe, canned, stewed"
Other Mexican mixed dishes	"Peppers, hot chili, red, canned, excluding seeds, solids and liquids"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Cheese, cheddar"
Other Mexican mixed dishes	"Tomatillos, raw"
Other Mexican mixed dishes	"Peppers, hot chili, green, raw"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Water, tap, drinking"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Coriander (cilantro) leaves, raw"
Other Mexican mixed dishes	"Lime juice, raw"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Tomato products, canned, sauce"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Fast foods, taco with beef, cheese and lettuce, hard shell"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Tomato products, canned, sauce"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Tomato products, canned, sauce"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Fast foods, taco with beef, cheese and lettuce, soft"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Tomato products, canned, sauce"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Fast foods, taco with beef, cheese and lettuce, soft"
Burritos and tacos	"Cream, sour, reduced fat, cultured"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Fast foods, taco with chicken, lettuce and cheese, soft"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Fish, cod, Pacific, cooked, dry heat (may have been previously frozen)"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Lime juice, raw"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Fish, cod, Pacific, cooked, dry heat (may have been previously frozen)"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Lime juice, raw"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Tomato products, canned, sauce"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Tomato products, canned, sauce"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Tomato products, canned, sauce"
Burritos and tacos	"Fast foods, taco with beef, cheese and lettuce, hard shell"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Tomato products, canned, sauce"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Taco shells, baked"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Sauce, salsa, ready-to-serve"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Refried beans, fat added in cooking, NS as to type of fat"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Garlic, raw"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Peppers, jalapeno, raw"
Burritos and tacos	"Salt, table"
Other Mexican mixed dishes	"Ground beef, cooked"
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Tomatoes, red, ripe, canned, packed in tomato juice"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Spices, chili powder"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Bread, cornbread, dry mix, enriched (includes corn muffin mix)"
Other Mexican mixed dishes	"Milk, NFS"
Other Mexican mixed dishes	"Egg, whole, raw, fresh"
Other Mexican mixed dishes	"Ground beef, cooked"
Other Mexican mixed dishes	"Onions, cooked, boiled, drained, without salt"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Tomato products, canned, sauce"
Other Mexican mixed dishes	"Water, tap, drinking"
Other Mexican mixed dishes	"Beans, kidney, all types, mature seeds, cooked, boiled, without salt"
Other Mexican mixed dishes	"Snacks, corn-based, extruded, chips, plain"
Other Mexican mixed dishes	"Spices, chili powder"
Other Mexican mixed dishes	"Spices, oregano, dried"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Cheese, cheddar"
Other Mexican mixed dishes	"Ground beef, cooked"
Other Mexican mixed dishes	"Onions, cooked, boiled, drained, without salt"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Tomato products, canned, sauce"
Other Mexican mixed dishes	"Water, tap, drinking"
Other Mexican mixed dishes	"Snacks, corn-based, extruded, chips, plain"
Other Mexican mixed dishes	"Spices, chili powder"
Other Mexican mixed dishes	"Spices, oregano, dried"
Other Mexican mixed dishes	"Cheese, monterey"
Other Mexican mixed dishes	"Cheese, cheddar"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Beans, black turtle, mature seeds, cooked, boiled, without salt"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Olives, ripe, canned (small-extra large)"
Burritos and tacos	"Tomatoes, red, ripe, raw, year round average"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Avocados, raw, all commercial varieties"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Spices, garlic powder"
Burritos and tacos	"Spices, pepper, red or cayenne"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Beans, black turtle, mature seeds, cooked, boiled, without salt"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Olives, ripe, canned (small-extra large)"
Burritos and tacos	"Tomatoes, red, ripe, raw, year round average"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Avocados, raw, all commercial varieties"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Spices, garlic powder"
Burritos and tacos	"Spices, pepper, red or cayenne"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Beans, black turtle, mature seeds, cooked, boiled, without salt"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Olives, ripe, canned (small-extra large)"
Burritos and tacos	"Tomatoes, red, ripe, raw, year round average"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Avocados, raw, all commercial varieties"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Beans, black turtle, mature seeds, cooked, boiled, without salt"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Olives, ripe, canned (small-extra large)"
Burritos and tacos	"Tomatoes, red, ripe, raw, year round average"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Avocados, raw, all commercial varieties"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Ground beef, cooked"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Spices, garlic powder"
Burritos and tacos	"Spices, pepper, red or cayenne"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Beans, black turtle, mature seeds, cooked, boiled, without salt"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Olives, ripe, canned (small-extra large)"
Burritos and tacos	"Tomatoes, red, ripe, raw, year round average"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Avocados, raw, all commercial varieties"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Cream, sour, cultured"
Burritos and tacos	"Chicken, NS as to part, rotisserie, skin not eaten"
Burritos and tacos	"Spices, chili powder"
Burritos and tacos	"Spices, garlic powder"
Burritos and tacos	"Spices, pepper, red or cayenne"
Burritos and tacos	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Burritos and tacos	"Vegetable oil, NFS"
Burritos and tacos	"Beans, black turtle, mature seeds, cooked, boiled, without salt"
Burritos and tacos	"Lettuce, iceberg (includes crisphead types), raw"
Burritos and tacos	"Cheese, cheddar"
Burritos and tacos	"Olives, ripe, canned (small-extra large)"
Burritos and tacos	"Tomatoes, red, ripe, raw, year round average"
Burritos and tacos	"Onions, raw"
Burritos and tacos	"Avocados, raw, all commercial varieties"
Burritos and tacos	"Salt, table"
Burritos and tacos	"Cream, sour, cultured"
Other Mexican mixed dishes	"Restaurant, Latino, tamale, pork"
Other Mexican mixed dishes	Lard
Other Mexican mixed dishes	"Leavening agents, baking powder, double-acting, sodium aluminum sulfate"
Other Mexican mixed dishes	"Corn flour, masa, unenriched, white"
Other Mexican mixed dishes	"Water, tap, drinking"
Other Mexican mixed dishes	"Soup, chicken broth, ready-to-serve"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Chicken, NS as to part, rotisserie, skin not eaten"
Other Mexican mixed dishes	"Peppers, hot chile, sun-dried"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Spices, cumin seed"
Other Mexican mixed dishes	Lard
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Corn, sweet, yellow, canned, whole kernel, drained solids"
Other Mexican mixed dishes	Lard
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	"Olives, ripe, canned (small-extra large)"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Corn, sweet, yellow, canned, whole kernel, drained solids"
Other Mexican mixed dishes	"Restaurant, Latino, tamale, corn"
Other Mexican mixed dishes	"Corn flour, masa, unenriched, white"
Other Mexican mixed dishes	"Soup, stock, chicken, home-prepared"
Other Mexican mixed dishes	"Salt, table"
Other Mexican mixed dishes	Lard
Other Mexican mixed dishes	"Onions, raw"
Other Mexican mixed dishes	"Ground beef, cooked"
Other Mexican mixed dishes	"Garlic, raw"
Other Mexican mixed dishes	"Tomatoes, red, ripe, canned, packed in tomato juice"
Other Mexican mixed dishes	"Spices, oregano, dried"
Other Mexican mixed dishes	"Spices, coriander leaf, dried"
Other Mexican mixed dishes	"Peppers, jalapeno, raw"
Other Mexican mixed dishes	"Sugars, brown"
Nachos	"Snacks, tortilla chips, plain, white corn, salted"
Nachos	"Beans, pinto, mature seeds, cooked, boiled, without salt"
Nachos	"Sauce, salsa, ready-to-serve"
Nachos	"Cheese, cheddar"
Nachos	"Cream, sour, cultured"
Nachos	"Fast foods, nachos, with cheese"
Nachos	"Snacks, tortilla chips, plain, white corn, salted"
Nachos	"Beans, pinto, mature seeds, cooked, boiled, without salt"
Nachos	"Sauce, salsa, ready-to-serve"
Nachos	"Cheese, cheddar"
Nachos	"Ground beef, cooked"
Nachos	"Snacks, tortilla chips, plain, white corn, salted"
Nachos	"Beans, pinto, mature seeds, cooked, boiled, without salt"
Nachos	"Sauce, salsa, ready-to-serve"
Nachos	"Cheese, cheddar"
Nachos	"Chicken, NS as to part, rotisserie, skin not eaten"
Nachos	"Snacks, tortilla chips, plain, white corn, salted"
Nachos	"Cheese, cheddar"
Nachos	"Chili with beans, canned"
Nachos	"Fast foods, nachos, with cheese, beans, ground beef, and tomatoes"
Nachos	"Sour cream, reduced fat"
Nachos	"Snacks, tortilla chips, plain, white corn, salted"
Nachos	"Beans, pinto, mature seeds, cooked, boiled, without salt"
Nachos	"Sauce, salsa, ready-to-serve"
Nachos	"Cheese, cheddar"
Nachos	"Cream, sour, cultured"
Nachos	"Chicken, NS as to part, rotisserie, skin not eaten"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Other Mexican mixed dishes	"Lettuce, iceberg (includes crisphead types), raw"
Other Mexican mixed dishes	"Sauce, salsa, ready-to-serve"
Other Mexican mixed dishes	"Cheese, cheddar"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Refried beans, fat added in cooking, NS as to type of fat"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Other Mexican mixed dishes	"Lettuce, iceberg (includes crisphead types), raw"
Other Mexican mixed dishes	"Sauce, salsa, ready-to-serve"
Other Mexican mixed dishes	"Cheese, cheddar"
Other Mexican mixed dishes	"Vegetable oil, NFS"
Other Mexican mixed dishes	"Refried beans, fat added in cooking, NS as to type of fat"
Other Mexican mixed dishes	"Cream, sour, cultured"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, corn"
Other Mexican mixed dishes	"Tortillas, ready-to-bake or -fry, flour, refrigerated"
Other Mexican mixed dishes	"Lettuce, iceberg (includes crisphead types), raw"
Other Mexican mixed dishes	"Sauce, salsa, ready-to-serve"
